Date,Customer,Material,Quantity,MixType,Rate,Total_INR,Year
2021-06-29,Talangeni,6mm,6.94,WetMix,1364.03,9463.94,2021
2024-11-10,Naresh,40mm,5.1,DryMix,2269.59,11581.81,2024
2022-04-27,Meghana,40mm,3.78,DryMix,2085.72,7886.97,2022
2022-06-18,Naresh,20mm,5.24,DryMix,3063.36,16065.8,2022
2021-11-02,Suresh,12mm,1.46,WetMix,1204.98,1756.28,2021
2022-10-25,RK Traders,12mm,1.33,WetMix,1326.31,1759.58,2022
2022-04-17,Suresh,20mm,4.32,DryMix,2827.64,12213.69,2022
2021-06-29,Meghana,20mm,4.03,DryMix,2584.1,10417.11,2021
2022-03-04,Ashok,20mm,2.54,DryMix,2922.9,7420.68,2022
2020-12-15,Ashok,40mm,1.05,DryMix,1716.8,1801.11,2020
2022-03-14,Prasad Reddy,20mm,14.53,DryMix,2905.45,42221.24,2022
2020-10-29,RK Traders,12mm,5.3,WetMix,1168.54,6195.37,2020
2020-12-30,Meghana,12mm,2.36,WetMix,1115.46,2637.66,2020
2022-10-23,Ashok,40mm,9.72,DryMix,1817.99,17666.22,2022
2022-03-16,Naresh,40mm,5.41,DryMix,1903.06,10302.43,2022
2021-04-29,Talangeni,Dust,12.69,WetMix,1311.26,16636.36,2021
2020-03-26,Meghana,12mm,14.64,WetMix,1108.74,16226.54,2020
2023-05-20,RK Traders,20mm,10.57,DryMix,2937.34,31033.8,2023
2023-03-15,Ashok,Dust,8.62,WetMix,1533.45,13220.12,2023
2023-10-24,Naresh,Dust,4.14,WetMix,1428.6,5910.6,2023
2021-11-22,Talangeni,12mm,5.78,WetMix,1218.35,7041.75,2021
2024-10-30,Prasad Reddy,20mm,3.36,DryMix,2884.82,9689.58,2024
2024-05-24,Meghana,Dust,5.71,WetMix,1451.71,8284.2,2024
2024-06-18,Ashok,20mm,1.28,DryMix,2913.05,3725.38,2024
2020-08-16,Ashok,Dust,3.44,WetMix,1305.98,4489.57,2020
2020-03-15,Ashok,Dust,4.68,WetMix,1286.73,6027.84,2020
2021-05-18,Meghana,40mm,8.3,DryMix,2044.92,16979.49,2021
2023-11-16,Naresh,12mm,2.67,WetMix,1550.32,4131.95,2023
2023-12-04,Naresh,Dust,8.11,WetMix,1376.11,11165.56,2023
2020-05-19,Talangeni,20mm,2.54,DryMix,2633.89,6696.04,2020
2020-05-18,Suresh,Dust,2.19,WetMix,1217.89,2661.54,2020
2021-11-20,Suresh,12mm,10.86,WetMix,1171.87,12723.98,2021
2020-01-13,RK Traders,12mm,7.5,WetMix,1141.11,8560.23,2020
2022-02-23,Naresh,20mm,6.49,DryMix,2834.7,18396.51,2022
2023-12-13,Suresh,20mm,9.08,DryMix,3225.02,29297.86,2023
2020-11-29,Naresh,6mm,2.42,WetMix,1435.72,3473.05,2020
2024-04-19,Meghana,20mm,13.25,DryMix,2910.78,38561.43,2024
2022-05-22,Meghana,6mm,11.92,WetMix,1594.95,19019.61,2022
2023-04-03,Naresh,6mm,8.29,WetMix,1649.97,13674.24,2023
2020-05-11,Suresh,20mm,10.53,DryMix,2544.15,26800.64,2020
2023-08-11,Suresh,40mm,4.83,DryMix,2045.0,9875.15,2023
2020-05-22,Prasad Reddy,20mm,6.99,DryMix,2427.68,16962.52,2020
2022-03-31,Ashok,40mm,15.37,DryMix,1852.67,28466.27,2022
2021-01-25,Talangeni,40mm,8.78,DryMix,1747.34,15340.97,2021
2024-08-19,RK Traders,20mm,3.52,DryMix,3354.53,11824.05,2024
2020-06-05,Prasad Reddy,20mm,7.69,DryMix,2603.49,20017.87,2020
2020-10-15,Meghana,Dust,5.22,WetMix,1261.8,6589.46,2020
2022-05-14,Ashok,6mm,7.86,WetMix,1468.33,11541.07,2022
2022-08-05,Suresh,6mm,2.82,WetMix,1500.69,4226.02,2022
2024-09-04,Naresh,12mm,7.05,WetMix,1579.36,11129.14,2024
2023-08-08,Naresh,12mm,4.97,WetMix,1480.76,7353.96,2023
2023-07-01,Meghana,12mm,3.05,WetMix,1372.82,4192.54,2023
2020-12-11,RK Traders,40mm,2.08,DryMix,1904.97,3963.6,2020
2023-05-18,Prasad Reddy,20mm,14.69,DryMix,2733.46,40152.86,2023
2024-01-23,RK Traders,Dust,7.48,WetMix,1678.51,12561.95,2024
2020-05-06,Prasad Reddy,12mm,9.55,WetMix,1218.31,11628.78,2020
2022-10-10,Suresh,40mm,9.3,DryMix,1847.59,17182.72,2022
2022-02-17,Meghana,20mm,2.63,DryMix,2699.47,7095.6,2022
2021-02-23,Prasad Reddy,20mm,5.28,DryMix,2872.89,15166.03,2021
2022-07-24,Ashok,6mm,2.65,WetMix,1370.8,3626.67,2022
2023-12-30,Suresh,20mm,1.99,DryMix,3087.75,6135.93,2023
2020-08-31,Talangeni,20mm,2.28,DryMix,2709.93,6175.67,2020
2023-05-18,Talangeni,40mm,8.7,DryMix,2307.83,20072.38,2023
2022-08-12,Naresh,Dust,1.67,WetMix,1280.32,2141.5,2022
2023-04-18,Prasad Reddy,6mm,9.6,WetMix,1553.24,14914.56,2023
2021-10-23,RK Traders,12mm,5.98,WetMix,1210.22,7237.35,2021
2022-04-28,Prasad Reddy,Dust,7.63,WetMix,1282.47,9790.19,2022
2021-04-20,Prasad Reddy,6mm,5.92,WetMix,1355.79,8028.29,2021
2022-09-16,Naresh,40mm,3.91,DryMix,2126.7,8315.49,2022
2021-10-31,Prasad Reddy,6mm,5.78,WetMix,1281.48,7413.13,2021
2023-12-18,Talangeni,40mm,7.75,DryMix,2041.88,15815.54,2023
2022-10-06,Meghana,12mm,4.66,WetMix,1351.79,6302.19,2022
2024-08-28,Ashok,40mm,2.61,DryMix,2073.92,5419.24,2024
2020-02-24,Talangeni,40mm,7.12,DryMix,1679.3,11960.95,2020
2023-11-04,Ashok,20mm,7.81,DryMix,3314.75,25888.25,2023
2023-11-15,Prasad Reddy,6mm,3.25,WetMix,1613.72,5246.8,2023
2021-03-18,Meghana,6mm,9.49,WetMix,1367.0,12976.41,2021
2022-12-10,RK Traders,20mm,2.0,DryMix,2700.76,5400.67,2022
2020-04-05,RK Traders,40mm,3.13,DryMix,1916.43,5992.1,2020
2022-06-28,Ashok,12mm,7.43,WetMix,1404.45,10428.46,2022
2023-01-13,Suresh,40mm,6.31,DryMix,2289.94,14452.17,2023
2020-03-22,Prasad Reddy,12mm,5.75,WetMix,1276.19,7337.44,2020
2022-01-15,Naresh,12mm,3.35,WetMix,1392.7,4668.4,2022
2020-09-17,Meghana,6mm,4.04,WetMix,1392.29,5629.56,2020
2022-12-12,Naresh,Dust,7.22,WetMix,1503.12,10859.26,2022
2023-07-27,Talangeni,20mm,5.84,DryMix,3064.79,17910.98,2023
2024-10-16,Talangeni,20mm,3.78,DryMix,2894.38,10937.91,2024
2021-07-05,Suresh,12mm,1.81,WetMix,1258.97,2282.09,2021
2023-07-25,Meghana,40mm,3.14,DryMix,2335.92,7323.11,2023
2023-02-06,Ashok,12mm,8.11,WetMix,1505.2,12201.53,2023
2020-05-07,Talangeni,6mm,5.12,WetMix,1340.2,6863.66,2020
2022-11-06,Prasad Reddy,6mm,7.49,WetMix,1504.04,11258.65,2022
2024-07-10,Meghana,12mm,5.89,WetMix,1424.45,8386.71,2024
2021-10-07,Talangeni,40mm,6.85,DryMix,1921.06,13154.77,2021
2021-03-30,Suresh,12mm,6.52,WetMix,1370.83,8935.55,2021
2021-12-02,Meghana,12mm,2.75,WetMix,1167.66,3205.57,2021
2023-10-18,Naresh,20mm,8.65,DryMix,2777.15,24015.09,2023
2020-01-29,Naresh,6mm,4.39,WetMix,1264.22,5545.39,2020
2023-02-10,Ashok,40mm,9.34,DryMix,2176.62,20324.39,2023
2020-02-24,Prasad Reddy,6mm,6.14,WetMix,1259.26,7733.33,2020
2024-01-30,RK Traders,40mm,6.01,DryMix,2050.69,12316.72,2024
2020-12-30,Talangeni,40mm,5.14,DryMix,1803.41,9271.92,2020
2020-03-13,Prasad Reddy,20mm,11.21,DryMix,2456.4,27541.24,2020
2024-06-27,Prasad Reddy,12mm,8.82,WetMix,1458.09,12859.27,2024
2023-06-06,RK Traders,Dust,0.96,WetMix,1601.05,1533.33,2023
2021-06-07,Suresh,40mm,10.08,DryMix,1729.37,17430.56,2021
2022-08-14,Talangeni,20mm,3.29,DryMix,2958.62,9732.82,2022
2020-01-12,Ashok,40mm,6.53,DryMix,1867.91,12195.13,2020
2021-01-08,Talangeni,20mm,3.0,DryMix,2669.34,8000.62,2021
2021-05-03,Talangeni,6mm,12.14,WetMix,1282.3,15572.08,2021
2021-12-11,Ashok,20mm,5.2,DryMix,2704.86,14067.53,2021
2021-01-25,Ashok,6mm,9.71,WetMix,1355.16,13162.95,2021
2024-03-01,Ashok,40mm,10.91,DryMix,2385.87,26038.7,2024
2021-01-06,Talangeni,40mm,6.77,DryMix,1891.65,12807.49,2021
2024-03-29,RK Traders,40mm,2.75,DryMix,2081.84,5719.56,2024
2022-03-15,Talangeni,40mm,2.28,DryMix,2096.59,4779.87,2022
2024-03-30,RK Traders,20mm,5.48,DryMix,3386.06,18570.11,2024
2021-12-22,Suresh,20mm,3.03,DryMix,2736.99,8283.5,2021
2020-11-06,Talangeni,40mm,0.91,DryMix,1932.6,1763.76,2020
2023-03-10,Naresh,12mm,1.78,WetMix,1327.14,2363.93,2023
2020-01-29,Suresh,20mm,5.86,DryMix,2268.8,13295.08,2020
2020-09-28,Ashok,Dust,1.86,WetMix,1185.39,2208.61,2020
2023-10-14,Suresh,Dust,0.98,WetMix,1532.11,1508.19,2023
2023-12-23,RK Traders,12mm,6.04,WetMix,1514.6,9150.47,2023
2021-03-07,Suresh,20mm,6.63,DryMix,2935.93,19460.46,2021
2022-03-27,RK Traders,20mm,15.18,DryMix,2689.4,40824.76,2022
2020-03-01,Naresh,6mm,14.5,WetMix,1343.38,19485.13,2020
2023-09-04,Meghana,40mm,2.45,DryMix,2177.9,5331.04,2023
2021-07-17,Naresh,Dust,5.23,WetMix,1269.22,6634.38,2021
2023-08-26,Naresh,6mm,1.84,WetMix,1601.25,2947.82,2023
2020-08-13,Talangeni,20mm,6.36,DryMix,2268.37,14423.15,2020
2024-12-02,Suresh,6mm,2.87,WetMix,1733.45,4979.11,2024
2024-03-24,RK Traders,40mm,3.5,DryMix,2475.79,8667.84,2024
2024-02-22,Talangeni,40mm,9.98,DryMix,2248.83,22453.71,2024
2020-01-03,Meghana,40mm,7.55,DryMix,1803.27,13606.29,2020
2023-01-17,RK Traders,20mm,1.79,DryMix,3073.45,5515.73,2023
2024-06-28,Naresh,40mm,9.72,DryMix,2085.87,20272.35,2024
2022-07-09,RK Traders,12mm,2.62,WetMix,1240.89,3251.57,2022
2024-04-09,Naresh,6mm,7.65,WetMix,1550.03,11851.05,2024
2022-09-01,Suresh,40mm,6.37,DryMix,1825.34,11623.92,2022
2020-02-06,Suresh,Dust,9.2,WetMix,1305.46,12007.17,2020
2023-02-11,Meghana,6mm,8.27,WetMix,1626.72,13451.82,2023
2024-05-10,Naresh,12mm,10.63,WetMix,1647.97,17522.36,2024
2020-08-03,RK Traders,40mm,4.94,DryMix,1883.4,9298.76,2020
2024-08-31,Naresh,6mm,5.93,WetMix,1601.3,9499.76,2024
2020-12-21,Meghana,40mm,9.53,DryMix,1650.61,15725.13,2020
2021-07-10,Prasad Reddy,12mm,5.59,WetMix,1163.11,6496.28,2021
2023-11-18,Suresh,40mm,2.33,DryMix,2233.32,5210.79,2023
2020-12-21,Meghana,12mm,3.17,WetMix,1261.59,3993.83,2020
2023-06-01,Meghana,6mm,6.26,WetMix,1541.76,9644.85,2023
2020-12-25,RK Traders,12mm,9.28,WetMix,1082.18,10041.74,2020
2022-10-04,Meghana,40mm,5.41,DryMix,1813.15,9811.63,2022
2022-09-20,RK Traders,Dust,8.32,WetMix,1290.98,10736.27,2022
2020-10-04,RK Traders,Dust,1.55,WetMix,1255.47,1948.75,2020
2021-12-31,RK Traders,20mm,6.83,DryMix,2443.53,16690.75,2021
2021-12-05,Naresh,12mm,9.26,WetMix,1374.5,12726.15,2021
2021-11-17,RK Traders,6mm,2.07,WetMix,1482.92,3066.0,2021
2021-01-15,Ashok,Dust,9.19,WetMix,1182.22,10867.22,2021
2022-05-28,Naresh,40mm,7.25,DryMix,2079.95,15087.5,2022
2023-12-24,Suresh,12mm,1.76,WetMix,1581.03,2787.47,2023
2024-02-21,Suresh,6mm,8.92,WetMix,1621.47,14462.17,2024
2024-09-06,Meghana,Dust,9.51,WetMix,1434.6,13648.78,2024
2023-11-06,RK Traders,Dust,8.78,WetMix,1531.82,13448.81,2023
2022-05-18,RK Traders,40mm,5.31,DryMix,1965.31,10437.1,2022
2023-11-11,Prasad Reddy,40mm,7.8,DryMix,2053.25,16014.17,2023
2023-03-31,Naresh,6mm,11.36,WetMix,1447.43,16447.17,2023
2024-03-27,Ashok,12mm,8.88,WetMix,1527.25,13568.48,2024
2022-12-19,Prasad Reddy,20mm,2.6,DryMix,2616.96,6791.33,2022
2022-11-16,RK Traders,12mm,9.04,WetMix,1236.09,11178.17,2022
2021-11-23,Talangeni,Dust,7.98,WetMix,1324.91,10576.19,2021
2023-03-22,Meghana,20mm,7.05,DryMix,3137.27,22110.12,2023
2024-08-28,RK Traders,20mm,4.1,DryMix,2921.09,11976.47,2024
2020-04-26,Naresh,12mm,3.21,WetMix,1316.24,4223.21,2020
2020-09-30,Meghana,12mm,6.85,WetMix,1313.93,8996.39,2020
2020-01-11,Prasad Reddy,6mm,7.48,WetMix,1415.07,10584.63,2020
2023-11-16,Meghana,40mm,2.2,DryMix,2235.72,4926.4,2023
2021-08-10,Meghana,20mm,3.55,DryMix,2483.74,8811.44,2021
2023-01-14,RK Traders,Dust,8.24,WetMix,1419.01,11686.8,2023
2020-08-29,Prasad Reddy,Dust,1.07,WetMix,1214.29,1300.12,2020
2021-08-11,Talangeni,Dust,1.34,WetMix,1268.01,1704.69,2021
2022-05-20,Meghana,12mm,12.12,WetMix,1420.86,17222.37,2022
2020-04-15,Prasad Reddy,Dust,2.91,WetMix,1319.28,3844.13,2020
2021-09-26,Meghana,20mm,6.37,DryMix,2737.38,17431.63,2021
2021-07-06,RK Traders,12mm,4.15,WetMix,1379.26,5721.59,2021
2023-09-03,Meghana,Dust,5.24,WetMix,1496.97,7846.97,2023
2021-04-03,RK Traders,Dust,11.85,WetMix,1319.94,15642.23,2021
2022-06-13,Ashok,40mm,7.54,DryMix,2016.99,15217.15,2022
2022-08-28,Meghana,12mm,4.04,WetMix,1393.52,5624.65,2022
2024-04-09,Naresh,6mm,15.55,WetMix,1594.72,24793.5,2024
2023-10-11,Suresh,6mm,6.55,WetMix,1689.74,11065.99,2023
2020-11-02,Talangeni,Dust,7.61,WetMix,1094.05,8324.03,2020
2021-07-02,Naresh,20mm,1.63,DryMix,2755.42,4487.39,2021
2020-02-04,Suresh,6mm,2.88,WetMix,1298.46,3738.51,2020
2022-06-21,Prasad Reddy,Dust,7.03,WetMix,1481.0,10406.91,2022
2022-08-14,Suresh,Dust,2.69,WetMix,1336.9,3591.42,2022
2021-06-15,Talangeni,Dust,5.78,WetMix,1389.74,8037.6,2021
2021-02-23,Suresh,12mm,6.59,WetMix,1257.17,8289.12,2021
2020-11-30,RK Traders,12mm,3.55,WetMix,1181.21,4189.74,2020
2023-10-26,Meghana,12mm,4.58,WetMix,1411.1,6468.11,2023
2021-06-13,Ashok,6mm,8.43,WetMix,1337.77,11276.6,2021
2020-04-09,RK Traders,12mm,8.64,WetMix,1169.48,10104.37,2020
2020-10-19,Meghana,6mm,3.23,WetMix,1317.96,4257.11,2020
2021-01-15,RK Traders,20mm,2.43,DryMix,2724.73,6611.84,2021
2022-06-09,Prasad Reddy,20mm,8.9,DryMix,2792.46,24857.35,2022
2020-09-17,RK Traders,20mm,10.5,DryMix,2315.44,24320.97,2020
2023-08-19,Talangeni,40mm,1.66,DryMix,1947.94,3229.95,2023
2024-06-16,RK Traders,12mm,4.58,WetMix,1637.03,7492.59,2024
2023-07-23,RK Traders,40mm,1.44,DryMix,2217.67,3198.72,2023
2023-07-31,Naresh,20mm,4.0,DryMix,3168.02,12658.25,2023
